,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0318956","23,37","0,74"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.4.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 99803 ,SINAPI,LIMPEZA DE PISO CERÂMICO OU PORCELANATO COM PANO ÚMIDO. AF_04/2019,Limpeza de Obra,,m²,"1,0000000","1,80","1,80"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0772678","23,37","1,80"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.5 ,,,CERCAMENTO,,,,,,
 18.5.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 98522 ,SINAPI,"ALAMBRADO EM MOURÕES DE CONCRETO, COM TELA DE ARAME GALVANIZADO (INCLUSIVE MURETA EM CONCRETO). AF_05/2018","Cercas, Protetores e Alambrados",,M,"1,0000000","130,35","130,35"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,8837457","29,21","25,81"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,8837457","23,37","20,65"
Composição Auxiliar, 94974 ,SINAPI,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MANUAL. AF_05/2021",Produção de Concreto,,m³,"0,0145000","416,89","6,04"
Insumo, 00004107 ,SINAPI,"MOURAO DE CONCRETO RETO, SECAO QUADRADA *10 X 10* CM, H= *2,30* M",Material,,UN,"0,3846000","46,99","18,07"
Insumo, 00004417 ,SINAPI,"SARRAFO NAO APARELHADO *2,5 X 7* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM, PEROBA-ROSA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,0880000","6,31","0,55"
Insumo, 00004460 ,SINAPI,"SARRAFO NAO APARELHADO *2,5 X 10* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"2,2000000","8,18","17,99"
Insumo, 00010937 ,SINAPI,"TELA DE ARAME GALVANIZADA REVESTIDA EM PVC, QUADRANGULAR / LOSANGULAR, FIO 2,11 MM (14 BWG), BITOLA FINAL = *2,8* MM, MALHA *8 X 8* CM, H = 2 M",Material,,m²,"1,9231000","21,06","40,50"
Insumo, 00043130 ,SINAPI,"ARAME GALVANIZADO 12 BWG, D = 2,76 MM (0,048 KG/M) OU 14 BWG, D = 2,11 MM (0,026 KG/M)",Material,,KG,"0,0586000","12,66","0,74"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.5.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 101199 ,SINAPI,"CERCA COM MOURÕES DE CONCRETO, SEÇÃO ""T"" PONTA INCLINADA, 10X10CM, ESPAÇAMENTO DE 2,5M, CRAVADOS 0,5M, COM 11 FIOS DE ARAME MISTO - FORNECIMENTO E INSTALAÇÃO. AF_05/2020","Cercas, Protetores e Alambrados",,M,"1,0000000","69,93","69,93"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6777419","29,21","19,79"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,6777419","23,37","15,83"
Composição Auxiliar, 94962 ,SINAPI,"CONCRETO MAGRO PARA LASTRO, TRAÇO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",Produção de Concreto,,m³,"0,0090000","337,03","3,03"
Insumo, 00000339 ,SINAPI,"ARAME FARPADO GALVANIZADO, 14 BWG (2,11 MM), CLASSE 250",Material,,M,"5,0000000","0,77","3,85"
Insumo, 00000346 ,SINAPI,"ARAME DE ACO OVALADO 15 X 17 (45,7 KG, 700 KGF), ROLO 1000 M",Material,,KG,"0,2700000","14,99","4,04"
Insumo, 00004114 ,SINAPI,"MOURAO CONCRETO CURVO, SECAO ""T"", H = 2,80 M + CURVA COM 0,45 M, COM FUROS PARA FIOS",Material,,UN,"0,4000000","55,98","22,39"
Insumo, 00043130 ,SINAPI,"ARAME GALVANIZADO 12 BWG, D = 2,76 MM (0,048 KG/M) OU 14 BWG, D = 2,11 MM (0,026 KG/M)",Material,,KG,"0,0790000","12,66","1,00"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.6 ,,,POÇO PROFUNDO,,,,,,
 18.6.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0038 ,Próprio,"SERVIÇO DE PERFURAÇÃO DE POÇO COM 200 M DE PROFUNDIDADE USANDO O
MÉTODO À PERCUSSÃO COM BROCA DE 12”",SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","254,89","254,89"
Insumo, 5058 ,ORSE,"Perfuração rocha sedimentar sedimento / camadas inconsolidadas dn 12.1/2"" - poço de 150 a 250m",Serviços,,m,"1,0000000","254,89","254,89"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.6.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0039 ,Próprio,"SERVIÇO DE REVESTIMENTO EM TUBO DE PVC GEOMECÂNICO NERVURADO
RÍGIDO DE 8""",SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","210,19","210,19"
Insumo, 00009853 ,SINAPI,"TUBO PVC DE REVESTIMENTO GEOMECANICO NERVURADO REFORCADO, DN = 200 MM, COMPRIMENTO = 2 M",Material,,M,"1,0000000","210,19","210,19"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.6.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0040 ,Próprio,"SERVIÇO DE REVESTIMENTO EM FILTRO DE PVC GEOMECÂNICO NERVURADO
RÍGIDO DE 8""",SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","317,50","317,50"
Insumo, 5092 ,ORSE,Revestimento filtro pvc geomecânico reforçado dn 200mm,Serviços,,m,"1,0000000","317,50","317,50"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.6.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0041 ,Próprio,COLOCAÇÃO DE PRÉ-FILTRO E CASCALHO SELECIONADO,SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","289,41","289,41"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7753030","29,21","22,64"
Insumo, 546 ,ORSE,Cascalho (piçarra branca),Material,,m³,"1,0000000","57,45","57,45"
Insumo, 13742 ,ORSE,Colocação Pré-filtro comum - Unidade Rotativa até 250m,Serviços,,m³,"1,0000000","209,32","209,32"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.6.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0045 ,Próprio,"CENTRALIZADOR EM BARRA CHATA 1""",SEDI - SERVIÇOS DIVERSOS,,UN,"1,0000000","79,62","79,62"
Composição Auxiliar, 88317 ,SINAPI,SOLDADOR COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,5955146","29,95","47,78"
Composição Auxiliar, 88251 ,SINAPI,AUXILIAR DE SERRALHEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7977573","24,55","19,58"
Insumo, 2545 ,ORSE,"Barra chata de ferro 1""x1/4""  (1,27 kg/m)",Material,,m,"1,2000000","10,22","12,26"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.6.6 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0042 ,Próprio,"TESTE DE BOMBEAMENTO, DESENVOLVIMENTO E VAZÃO",SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","3.997,09","3.997,09"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4787798","29,57","14,15"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0312643","24,99","0,78"
Insumo, 5032 ,ORSE,Ensaio de vazão com bomba submersa,Serviços,,h,"8,0000000","497,77","3.982,16"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.6.7 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0043 ,Próprio,"FORNECIMENTO E INSTALAÇÃO DE BOMBA SUBMERSA DE 25 HP, COM VAZÃO
ESTIMADA DE 18 M3/H E ALTURA MANOMÉTRICA DE 252,90M",SEDI - SERVIÇOS DIVERSOS,,UN,"1,0000000","30.040,29","30.040,29"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"4,8981666","29,57","144,83"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,2245417","24,99","30,60"
Insumo, 00000755 ,SINAPI,"BOMBA SUBMERSA PARA POCOS TUBULARES PROFUNDOS DIAMETRO DE 6 POLEGADAS, ELETRICA, TRIFASICA, POTENCIA 27,12 HP, 7 ESTAGIOS, BOCAL DE DESCARGA DIAMETRO DE 4 POLEGADAS, HM/Q = 13,9 M / 90 M3/H A 44,0 M / 25,0 M3/H",Equipamento para Aquisição Permanente,,UN,"1,0000000","29.864,86","29.864,86"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 18.6.8 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, R0044 ,Próprio,FORNECIMENTO E INSTALAÇÃO DE CHAVE DE PARTIDA DA BOMBA SOFT START,SEDI - SERVIÇOS DIVERSOS,,UN,"1,0000000","2.218,59","2.218,59"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,4679455","29,57","43,40"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7339726","24,99","18,34"
Insumo, PP26 ,Próprio,"CHAVE DE PARTIDA SOFT STARTER, TRIFÁSICA, 380V, 45A, MARCA WEG OU SIMILAR",Material,,UN,"1,0000000","2.156,85","2.156,85"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 19 ,,,PAISAGISMO/URBANIZAÇÃO,,,,,,
 19.1 ,,,PASSEIO/ BLOQUETES/ MEIO-FIO,,,,,,
 19.1.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94993 ,SINAPI,"EXECUÇÃO DE PASSEIO (CALÇADA) OU PISO DE CONCRETO COM CONCRETO MOLDADO IN LOCO, USINADO, ACABAMENTO CONVENCIONAL, ESPESSURA 6 CM, ARMADO. AF_08/2022",Passeios de Concreto,,m²,"1,0000000","57,06","57,06"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0764155","28,79","2,20"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0569201","29,21","1,66"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1334137","23,37","3,11"
Insumo, 00004517 ,SINAPI,"SARRAFO *2,5 X 7,5* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA",Material,,M,"0,4500000","3,21","1,44"
Insumo, 00005068 ,SINAPI,PREGO DE ACO POLIDO COM CABECA 17 X 21 (2 X 11),Material,,KG,"0,0240000","10,93","0,26"
Insumo, 00007156 ,SINAPI,"TELA DE ACO SOLDADA NERVURADA, CA-60, Q-196, (3,11 KG/M2), DIAMETRO DO FIO = 5,0 MM, LARGURA = 2,45 M, ESPACAMENTO DA MALHA = 10 X 10 CM",Material,,m²,"1,0816000","18,78","20,31"
Insumo, 00034492 ,SINAPI,"CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C20, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, EXCLUI SERVICO DE BOMBEAMENTO (NBR 8953)",Material,,m³,"0,0739000","380,00","28,08"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 19.1.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94265 ,SINAPI,"GUIA (MEIO-FIO) CONCRETO, MOLDADA IN LOCO EM TRECHO RETO COM EXTRUSORA, 15 CM BASE X 30 CM ALTURA. AF_01/2024",Guias e sarjetas,,M,"1,0000000","37,55","37,55"
Composição Auxiliar, 88243 ,SINAPI,AJUDANTE ESPECIALIZADO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0784877","23,57","1,84"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1712172","29,21","5,00"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3424344","23,37","8,00"
Composição Auxiliar, 88631 ,SINAPI,"ARGAMASSA TRAÇO 1:4 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0022000","539,26","1,18"
Composição Auxiliar, 92960 ,SINAPI,"MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHP DIURNO. AF_12/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0165000","16,05","0,26"
Composição Auxiliar, 92961 ,SINAPI,"MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHI DIURNO. AF_12/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0827000","4,19","0,34"
Insumo, 00000370 ,SINAPI,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",Material,,m³,"0,0066000","104,00","0,68"
Insumo, 00034492 ,SINAPI,"CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C20, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, EXCLUI SERVICO DE BOMBEAMENTO (NBR 8953)",Material,,m³,"0,0533000","380,00","20,25"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 19.1.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94266 ,SINAPI,"GUIA (MEIO-FIO) CONCRETO, MOLDADA IN LOCO EM TRECHO CURVO COM EXTRUSORA, 15 CM BASE X 30 CM ALTURA. AF_01/2024",Guias e sarjetas,,M,"1,0000000","41,96","41,96"
Composição Auxiliar, 88243 ,SINAPI,AJUDANTE ESPECIALIZADO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1194398","23,57","2,81"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2123287","29,21","6,20"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4246575","23,37","9,92"
Composição Auxiliar, 88631 ,SINAPI,"ARGAMASSA TRAÇO 1:4 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0022000","539,26","1,18"
Composição Auxiliar, 92960 ,SINAPI,"MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHP DIURNO. AF_12/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0251000","16,05","0,40"
Composição Auxiliar, 92961 ,SINAPI,"MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHI DIURNO. AF_12/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,1256000","4,19","0,52"
Insumo, 00000370 ,SINAPI,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",Material,,m³,"0,0066000","104,00","0,68"
Insumo, 00034492 ,SINAPI,"CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C20, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, EXCLUI SERVICO DE BOMBEAMENTO (NBR 8953)",Material,,m³,"0,0533000","380,00","20,25"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 19.1.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94267 ,SINAPI,"GUIA (MEIO-FIO) E SARJETA CONJUGADOS DE CONCRETO, MOLDADA IN LOCO EM TRECHO RETO COM EXTRUSORA, 45 CM BASE (15 CM BASE DA GUIA + 30 CM BASE DA SARJETA) X 22 CM ALTURA. AF_01/2024",Guias e sarjetas,,M,"1,0000000","45,11","45,11"
Composição Auxiliar, 88243 ,SINAPI,AJUDANTE ESPECIALIZADO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0860914","23,57","2,02"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1784054","29,21","5,21"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,3568107","23,37","8,33"
Composição Auxiliar, 88631 ,SINAPI,"ARGAMASSA TRAÇO 1:4 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0033000","539,26","1,77"
Composição Auxiliar, 92960 ,SINAPI,"MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHP DIURNO. AF_12/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0182000","16,05","0,29"
Composição Auxiliar, 92961 ,SINAPI,"MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHI DIURNO. AF_12/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,0911000","4,19","0,38"
Insumo, 00000370 ,SINAPI,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",Material,,m³,"0,0149000","104,00","1,54"
Insumo, 00034492 ,SINAPI,"CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C20, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, EXCLUI SERVICO DE BOMBEAMENTO (NBR 8953)",Material,,m³,"0,0673000","380,00","25,57"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 19.1.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94268 ,SINAPI,"GUIA (MEIO-FIO) E SARJETA CONJUGADOS DE CONCRETO, MOLDADA IN LOCO EM TRECHO CURVO COM EXTRUSORA, 45 CM BASE (15 CM BASE DA GUIA + 30 CM BASE DA SARJETA) X 22 CM ALTURA. AF_01/2024",Guias e sarjetas,,M,"1,0000000","49,97","49,97"
Composição Auxiliar, 88243 ,SINAPI,AJUDANTE ESPECIALIZADO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1312088","23,57","3,09"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2238453","29,21","6,53"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4476907","23,37","10,46"
Composição Auxiliar, 88631 ,SINAPI,"ARGAMASSA TRAÇO 1:4 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0033000","539,26","1,77"
Composição Auxiliar, 92960 ,SINAPI,"MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHP DIURNO. AF_12/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0277000","16,05","0,44"
Composição Auxiliar, 92961 ,SINAPI,"MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHI DIURNO. AF_12/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,1383000","4,19","0,57"
Insumo, 00000370 ,SINAPI,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",Material,,m³,"0,0149000","104,00","1,54"
Insumo, 00034492 ,SINAPI,"CONCRETO USINADO BOMBEAVEL, CLASSE DE RESISTENCIA C20, COM BRITA 0 E 1, SLUMP = 100 +/- 20 MM, EXCLUI SERVICO DE BOMBEAMENTO (NBR 8953)",Material,,m³,"0,0673000","380,00","25,57"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 19.1.6 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94273 ,SINAPI,"ASSENTAMENTO DE GUIA (MEIO-FIO) EM TRECHO RETO, CONFECCIONADA EM CONCRETO PRÉ-FABRICADO, DIMENSÕES 100X15X13X30 CM (COMPRIMENTO X BASE INFERIOR X BASE SUPERIOR X ALTURA). AF_01/2024",Guias e sarjetas,,M,"1,0000000","35,76","35,76"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1804223","29,21","5,27"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1804223","23,37","4,21"
Composição Auxiliar, 88629 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0018000","591,67","1,06"
Insumo, 00000370 ,SINAPI,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",Material,,m³,"0,0066000","104,00","0,68"
Insumo, 00004059 ,SINAPI,"MEIO-FIO OU GUIA DE CONCRETO, PRE-MOLDADO, COMP 1 M, *30 X 12/15* CM (H X L1/L2)",Material,,M,"1,0050000","24,42","24,54"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 19.1.7 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 94274 ,SINAPI,"ASSENTAMENTO DE GUIA (MEIO-FIO) EM TRECHO CURVO, CONFECCIONADA EM CONCRETO PRÉ-FABRICADO, DIMENSÕES 100X15X13X30 CM (COMPRIMENTO X BASE INFERIOR X BASE SUPERIOR X ALTURA). AF_01/2024",Guias e sarjetas,,M,"1,0000000","38,13","38,13"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2255458","29,21","6,58"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2255458","23,37","5,27"
Composição Auxiliar, 88629 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0018000","591,67","1,06"
Insumo, 00000370 ,SINAPI,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",Material,,m³,"0,0066000","104,00","0,68"
Insumo, 00004059 ,SINAPI,"MEIO-FIO OU GUIA DE CONCRETO, PRE-MOLDADO, COMP 1 M, *30 X 12/15* CM (H X L1/L2)",Material,,M,"1,0050000","24,42","24,54"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 19.1.8 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92404 ,SINAPI,"EXECUÇÃO DE PAVIMENTO EM PISO INTERTRAVADO, COM BLOCO 16 FACES DE 22 X 11 CM, ESPESSURA 8 CM. AF_10/2022",Pavimento Intertravado,,m²,"1,0000000","60,92","60,92"
Composição Auxiliar, 88260 ,SINAPI,CALCETEIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1676241","29,01","4,86"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1676241","23,37","3,91"
Composição Auxiliar, 91277 ,SINAPI,"PLACA VIBRATÓRIA REVERSÍVEL COM MOTOR 4 TEMPOS A GASOLINA, FORÇA CENTRÍFUGA DE 25 KN (2500 KGF), POTÊNCIA 5,5 CV - CHP DIURNO. AF_08/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0055000","8,65","0,04"
Composição Auxiliar, 91278 ,SINAPI,"PLACA VIBRATÓRIA REVERSÍVEL COM MOTOR 4 TEMPOS A GASOLINA, FORÇA CENTRÍFUGA DE 25 KN (2500 KGF), POTÊNCIA 5,5 CV - CHI DIURNO. AF_08/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHI,"0,1010000","0,57","0,05"
Composição Auxiliar, 91283 ,SINAPI,"CORTADORA DE PISO COM MOTOR 4 TEMPOS A GASOLINA, POTÊNCIA DE 13 HP, COM DISCO DE CORTE DIAMANTADO SEGMENTADO PARA CONCRETO, DIÂMETRO DE 350 MM, FURO DE 1"" (14 X 1"") - CHP DIURNO. AF_08/2015",Custos Horários Produtivo e Improdutivo dos Equipamentos,,CHP,"0,0038000","9,66","0,03"
